event_name,city_name,date,time,latitude,longitude
Between thus table,Port Rebeccaberg,01/03/24,18:00:00,38.33354302,157.9579286
Chair west nature,Williamsberg,16/04/24,11:00:00,70.36082636,-35.87010613
Program technology middle true,Hoffmanfurt,05/03/24,7:30:00,-77.19655523,-163.4941699
Prove by recognize,Robertstad,01/04/24,17:00:00,-66.50384758,-26.49728437
Federal,Timport,20/04/24,10:30:00,27.57053311,-121.0672874
Explain plant,Laneshire,11/03/24,19:00:00,-5.532590733,117.3069602
Figure,Shawton,23/04/24,1:30:00,11.76800676,-60.54742509
Support least recent,Carlville,22/03/24,4:30:00,-61.57435141,178.5312529
Girl require important,New Matthew,07/04/24,9:30:00,37.5351609,-110.0174351
Evening finish,Hartville,27/03/24,16:00:00,1.297786634,5.411080838
Shake first,North Kristen,11/03/24,22:00:00,68.9115994,140.4362098
Make agree,North Amy,25/03/24,21:00:00,46.9137374,-122.182665
Peace seem west,Curtisville,10/04/24,1:30:00,-26.60714956,-122.2140638
Pay hit,New Scott,06/03/24,21:30:00,42.83635155,-113.9210684
By parent during,Lake Jeffreyhaven,28/04/24,6:30:00,44.23209849,6.192591687
Page might,Sherriview,09/03/24,14:00:00,26.02537994,-18.51716662
Per,New Joyce,06/04/24,20:00:00,-27.3207128,-129.1641687
Message no,Lake Lisa,26/04/24,20:30:00,80.38186351,53.67522352
Father make develop,Lake Hunterfurt,14/03/24,22:00:00,-59.83036039,6.220779026
Fact forward,South Joshua,27/04/24,13:00:00,26.92830511,131.8534408
Him address side choice,Willistown,24/04/24,0:00:00,-7.599549,171.772287
Wind like open last,Ronnietown,20/04/24,13:00:00,-74.43909428,-60.18269797
Dream TV article,East Shannonborough,26/04/24,13:00:00,-43.55898512,140.5108928
Believe assume,Brendabury,04/04/24,3:30:00,16.67540874,-141.950691
Way quickly health,Monicamouth,15/04/24,17:30:00,-21.51614741,-52.13315275
Computer identify,Thomasshire,21/04/24,3:00:00,-32.43349714,-3.731333989
Not she center person,Kyleview,23/04/24,8:30:00,45.39963087,39.69358121
Key for,Birdbury,03/03/24,6:30:00,-89.78322015,145.0644877
Medical clear,Hornton,08/03/24,15:00:00,58.21298284,116.7106305
Position than want,East Brandonville,04/04/24,5:00:00,38.53548942,-44.99086261
Right newspaper behavior,Lake Johnbury,06/04/24,15:30:00,10.74503517,-166.2688531
Listen international,Lake Matthew,27/03/24,15:00:00,-13.3935263,-98.28874385
Summer up sister,Lake Brian,23/03/24,0:00:00,75.89326129,-52.67902086
Blood piece rest,East Tinafort,13/03/24,19:30:00,23.97028478,-9.902254286
Catch attorney dream thousand,Claireville,01/04/24,3:00:00,88.50374861,-53.08105051
Unit step remember,Scottfort,21/03/24,15:30:00,-35.56394608,2.338459625
You subject win compare,New James,23/04/24,18:30:00,2.848906525,166.3225584
These degree,New Veronica,29/04/24,6:30:00,-20.66343684,4.69288283
Candidate,East Carolyn,10/04/24,23:30:00,-88.46972191,148.3763749
National share,Robertchester,03/04/24,6:30:00,-76.28684947,72.56555562
Style follow,Penningtontown,01/03/24,9:00:00,69.63745651,78.01419738
Carry right threat,Jasminebury,23/03/24,10:30:00,-8.789789841,-93.91557017
After note nearly,West Douglas,24/03/24,9:30:00,78.80251268,-62.83100541
Size man financial,Brettberg,29/04/24,7:30:00,-74.69316562,-155.7224516
Yard forget,North Davidfurt,26/04/24,21:30:00,-33.86924549,-75.88235225
Few magazine against,Shawnville,18/04/24,6:00:00,-80.55342735,125.6698091
Give,South Michelleberg,14/04/24,12:00:00,8.13150888,74.33919868
Suggest guess dinner,Port Richard,01/04/24,19:00:00,-72.04127391,-76.69556139
Player,Lewischester,19/03/24,3:30:00,1.283756328,116.190566
Whole source,Vaughnfurt,05/04/24,12:30:00,-5.139136908,11.26348677
Say me notice,East Bethtown,15/04/24,15:00:00,-1.559122514,24.13216963
Throw eye deep,Lake Anitaville,25/04/24,22:00:00,64.23516545,-103.0858767
Assume by,East Brandyfort,18/03/24,10:00:00,-71.63468796,111.7686651
Political check five,Lake Timothymouth,17/03/24,2:30:00,-64.8930422,19.96023685
Reveal sport,Mcclainburgh,29/03/24,5:00:00,-7.573577082,-123.7968115
Probably theory,East Sonyaville,04/03/24,19:30:00,-19.04107982,-68.06040623
School tax source,New Kelly,22/03/24,9:30:00,-85.0419368,178.3722827
Responsibility yet,Port Emilychester,14/03/24,15:30:00,55.28061268,-33.60797003
Individual establish approach technology,Lake Kimberly,10/03/24,8:30:00,24.09408142,39.45194639
Station culture affect,Michaelland,05/03/24,5:00:00,82.37674103,107.4285332
Organization within movement,Stevenburgh,08/04/24,13:30:00,46.09207791,-12.49968203
Sometimes nice management,South Sarah,19/04/24,10:00:00,79.44506789,-121.6361132
Suggest agree,East Davidfurt,12/04/24,1:30:00,37.82212332,155.5483394
Glass although,Kathleenfort,17/03/24,4:00:00,29.99371994,156.8157856
Of ask open,New Andrew,16/03/24,4:00:00,-70.44535019,46.4730199
Student bit reflect,Garciaport,08/03/24,3:00:00,-83.50906734,82.91179905
We explain,North Gabrielleton,08/04/24,11:30:00,87.11569582,-41.54649847
Direction,Joshuaville,12/03/24,21:30:00,-1.181877495,98.89108441
Million oil interest people,West Amyberg,14/03/24,23:00:00,-75.09422174,-149.3150405
Spend business TV,West Alexisstad,27/03/24,1:00:00,66.17035313,41.7388648
Future deal,South Lisaberg,17/04/24,1:00:00,10.77666459,-91.90008021
Play fact,Davidsonfurt,07/04/24,18:00:00,-75.55150365,171.1203507
Sport almost away,New Aliciaville,24/04/24,8:00:00,-71.53705678,-60.31357923
Husband pretty ago,Meghanside,10/04/24,20:30:00,53.62797987,168.4343836
Return,New Joeton,01/03/24,0:30:00,-67.71943559,110.8888258
Some laugh pull,Craigburgh,08/03/24,2:30:00,-49.43622737,-55.91911662
Court,Lake Bettyville,01/03/24,0:30:00,38.89224466,-11.00906808
South leave always,Gregorymouth,02/04/24,10:30:00,79.71873942,99.41702652
Perhaps lead determine,Lake Andrew,11/04/24,17:00:00,-43.89019329,114.1272691
May,New Brittany,19/03/24,10:30:00,-37.99439609,7.879804885
Discover environmental left,Jennifertown,20/03/24,20:00:00,-66.86865112,121.7289836
Similar large energy,South Richardbury,18/04/24,17:30:00,-41.67372514,-93.19286554
Middle on,Rodneyshire,13/04/24,7:30:00,72.31672125,-125.7845131
Toward rock,Kyleport,31/03/24,11:30:00,3.225844,108.3552456
Thousand by,Schmidtfort,07/04/24,5:30:00,-8.417670703,12.34824357
Pass glass,Mendozaville,19/04/24,21:00:00,54.04617598,-62.13618591
Be stay,Wiseberg,18/04/24,13:30:00,31.20907496,69.21929602
Woman success good,Sherrytown,29/04/24,18:30:00,-30.58671591,-57.91680822
Executive time hope,West Sheilachester,25/04/24,5:30:00,-27.84287944,-172.5339034
Try fast suddenly,Elizabethberg,29/03/24,7:30:00,8.248454788,120.0525997
Resource specific job,Hudsonside,03/03/24,12:30:00,36.41125163,-144.8809898
Minute compare member,Davisshire,13/04/24,9:30:00,-52.32981077,67.34057655
Radio size,West Darrenfurt,01/04/24,14:00:00,-40.93659131,155.9738178
Experience probably true,Jennifermouth,13/03/24,7:30:00,32.22542253,-153.4476588
Same,New Judyside,13/03/24,7:30:00,-28.10749545,-15.96960579
As full,South Brittany,06/03/24,14:30:00,33.62214034,-170.8902671
Little push,Port James,09/03/24,1:30:00,-2.283392179,-149.4561919
Message close,Meaganmouth,26/04/24,15:00:00,-32.95232234,62.65170949
Price would,Summerchester,02/03/24,23:00:00,42.19361131,-94.81555288
Explain event near,New Rodneytown,02/04/24,3:00:00,24.12393075,-17.17521604
Knowledge customer series,South Michaelton,30/03/24,11:00:00,79.70636529,165.8367584
Director from,North Kylemouth,29/03/24,13:30:00,13.03792461,-46.15799205
Reduce stop later,Kevinmouth,26/04/24,14:30:00,14.54772228,145.9403508
General summer,Susanborough,24/04/24,2:00:00,36.16094193,-166.7439633
Human hear fast,Ryanstad,28/03/24,11:30:00,5.460944761,27.0592339
Take bill travel nearly,Melissaborough,22/03/24,10:00:00,-35.08522732,-159.2840857
Inside work,Carmenside,13/04/24,2:00:00,84.69182112,16.1769088
Than probably,Lake Nancy,24/04/24,6:30:00,25.58200209,39.2123156
Thank some indicate,North Mary,26/04/24,14:00:00,-45.68766671,160.3035119
Both doctor,South Sandra,05/03/24,2:30:00,-14.70024432,93.24122563
Economy commercial hand drop,South Sherryfort,27/03/24,17:30:00,33.36590132,161.8309244
Tough group,Ewingtown,05/04/24,21:30:00,-53.97306971,-135.4168244
Teacher on rule,North Laurentown,24/04/24,2:30:00,89.86225559,104.3091181
There truth,Kimberlyside,02/03/24,21:30:00,89.64600598,9.521894614
Song number,Andersonborough,29/03/24,1:30:00,-53.6314868,138.9751018
Line develop,Michaelberg,22/03/24,8:00:00,-12.27142964,129.4259568
Behind try possible,Mcgeehaven,28/04/24,16:30:00,18.35264687,-165.8875948
